"","ticker","yearOverYearGrowth","dividendYield"
"77","BRO",-11.1261656466777,0.194816198455297
"78","CHRW",-3.02012723287075,0.639614114303845
"79","CDNS",-8.12417193345004,0
"80","CZR",-47.4357629247145,0
"81","CPB",29.3032272227052,0.694705245764373
"82","COF",-35.7302173702087,0.630914839766874
"83","CAH",65.92050137909,0.625394039223151
"84","KMX",-54.9330624471109,0
"85","CCL",-48.8935721812434,0
"86","CARR",-21.8917014943303,0.342075272158507
"87","CTLT",-58.6074912392307,0
"88","CAT",14.4129096408597,0.515929326556246
"89","CBOE",-3.31817954545455,0
"90","CBRE",-23.7387556094912,0
"91","CDW",-4.64867122144617,0.315053125112338
"92","CE",-32.2047645374138,0.646173716492685
"93","CNC",19.2249121107267,0
"94","CNP",9.8017981981982,0.590745014464884
"95","CDAY",-38.9082986014572,0
"96","CF",72.9291938388578,0.386286806771024
"97","CRL",-40.5420516894863,0
"98","SCHW",-0.39360392151524,0.271672007717757
"99","CHTR",-43.09424117263,0
"100","CVX",49.7014653650881,0.809070731270889
"101","CMG",-5.21466018063633,0
"102","CB",14.7661368773637,0.384829389344426
"103","CHD",-13.8989565124707,0.325575641564442
"104","CI",58.3957442628037,0.341671763575537
"105","CINF",-7.88686326486254,0.640074193689957
"106","CTAS",3.59362857569225,0.251850556828989
"107","CSCO",-13.415060014538,0.768608429785769
"108","C",-27.4821266484174,1.11719600800894
"109","CFG",-17.8474343927872,1.06843039764868
"110","CLX",-11.1865962113724,0.791840000219031
"111","CME",-20.0670823084352,0.552120156584589
"112","CMS",-2.31421443425335,0.767434113570806
"113","KO",15.4489276626681,0.692695214105793
"114","CTSH",-26.0725673921901,0.447686943331339
"115","CL",-1.31629265175719,0.608650600768575
"116","CMCSA",-32.5047807362291,0.764872542914236
"117","CMA",-21.6152288045406,1.02579573049033
"118","CAG",19.2295484685822,0.873940724255335
"119","COP",59.7087319466703,0.430597763752149
"120","ED",20.2072593192021,0.810755319976287
"121","STZ",9.41591989290282,0.314935826865037
"122","CPRT",-10.8910968035631,0
"123","GLW",-11.8220063191153,0.806210761050418
"124","CTVA",35.2768456375839,0.232558139534884
"125","COST",-8.84161560613098,0.183426403754727
"126","CTRA",30.299995,2.60936310857111
