"","X","ticker","yearOverYearGrowth","dividendYield","V5"
"104",104,"CI",58.3957442628037,0.341671763575537,2
"105",105,"CINF",-7.88686326486254,0.640074193689957,1
"106",106,"CTAS",3.59362857569225,0.251850556828989,1
"107",107,"CSCO",-13.415060014538,0.768608429785769,1
"108",108,"C",-27.4821266484174,1.11719600800894,3
"109",109,"CFG",-17.8474343927872,1.06843039764868,3
"110",110,"CLX",-11.1865962113724,0.791840000219031,1
"111",111,"CME",-20.0670823084352,0.552120156584589,3
"112",112,"CMS",-2.31421443425335,0.767434113570806,1
"113",113,"KO",15.4489276626681,0.692695214105793,1
"114",114,"CTSH",-26.0725673921901,0.447686943331339,3
"115",115,"CL",-1.31629265175719,0.608650600768575,1
"116",116,"CMCSA",-32.5047807362291,0.764872542914236,3
"117",117,"CMA",-21.6152288045406,1.02579573049033,3
"118",118,"CAG",19.2295484685822,0.873940724255335,2
"119",119,"COP",59.7087319466703,0.430597763752149,2
"120",120,"ED",20.2072593192021,0.810755319976287,2
"121",121,"STZ",9.41591989290282,0.314935826865037,1
"122",122,"CPRT",-10.8910968035631,0,1
"123",123,"GLW",-11.8220063191153,0.806210761050418,1
"124",124,"CTVA",35.2768456375839,0.232558139534884,2
"125",125,"COST",-8.84161560613098,0.183426403754727,1
"126",126,"CTRA",30.299995,2.60936310857111,2
"127",127,"CCI",-26.6712477233261,1.059383145697,3
"128",128,"CSX",-15.1621648648649,0.318572804032265,1
"129",129,"CMI",11.464651837923,0.637511663824069,1
"130",130,"CVS",9.4935961833438,0.540062864888565,1
"131",131,"DHI",-20.0751145539906,0.293702997167423,3
"132",132,"DHR",-14.8993400887744,0.0941690483808214,1
"133",133,"DRI",-3.5332801616605,0.84255970445958,1
"134",134,"DVA",-28.5602645602734,0,3
"135",135,"DE",22.0856856065741,0.257326984522499,2
"136",136,"DAL",-6.99480865258075,0,1
"137",137,"XRAY",-40.4292663414634,0.409433330840703,3
"138",138,"DVN",53.0612280394533,2.34848484848485,2
"139",139,"DXCM",-13.9316731777111,0,1
"140",140,"FANG",27.4031075138987,1.61014532908132,2
"141",141,"DLR",-34.1253617021968,1.11405349074873,3
"142",142,"DFS",-8.92605561489535,0.579934279720996,1
"143",143,"DISH",-55.5315884273779,0,3
"144",144,"DG",8.80367014340202,0.223069437240992,1
"145",145,"DLTR",6.52394353117112,0,1
"146",146,"D",-20.3629053665886,1.12742616033755,3
"147",147,"DPZ",-27.3330811051478,0.290436718868794,3
"148",148,"DOV",-18.1046505813953,0.358511995183075,3
"149",149,"DOW",-5.50964177209106,1.36054419124307,1
"150",150,"DTE",0.0526621609760358,0.776383906945941,1
"151",151,"DUK",-1.63560076235927,1.01279851820623,1
"152",152,"DRE",-21.0612508833729,0.580912851018406,3
"153",153,"DD",-8.16883246753247,0.466694957809291,1
"154",154,"DXC",-12.8928800513149,0,1
"155",155,"EMN",-22.5844125127118,0.881568273768336,3
"156",156,"ETN",-7.30091894407757,0.507518777912828,1
"157",157,"EBAY",-34.4574350351104,0.503087125543106,3
"158",158,"ECL",-35.1584624445656,0.33777070210707,3
"159",159,"EIX",-4.40917101103511,1.07626074605995,1
"160",160,"EW",-36.4067857011546,0,3
"161",161,"EA",2.28684007858546,0.145974181131709,1
"162",162,"LLY",50.2620342642066,0.267029972752044,2
"163",163,"EMR",3.65853783356,0.546218504607726,1
"164",164,"ENPH",48.3912651085008,0,2
"165",165,"ETR",10.0629563167858,0.927290067833348,1
"166",166,"EOG",49.4719089887641,0.563782609665358,2
"167",167,"EFX",-32.1084864391951,0.201030927835052,3
"168",168,"EQIX",-14.873791034355,0.453037530418182,1
"169",169,"EQR",-26.9582309383316,0.99002057674607,3
"170",170,"ESS",-37.5860475382093,1.01950974158473,3
"171",171,"EL",-32.1583867530598,0.280159603700148,3
"172",172,"ETSY",-41.4638306382979,0,3
"173",173,"RE",23.9926739331163,0.497392441228358,2
"174",174,"EVRG",-12.5094099051633,1.05471440218022,1
"175",175,"ES",-2.38982982501551,0.761972981178563,1
"176",176,"EXC",9.53698666305811,0.809387011943822,1
"177",177,"EXPE",-40.456565921965,0,3
"178",178,"EXPD",-11.7670245155366,0.597680652947023,1
"179",179,"EXR",-23.9279852852576,0.954319930527036,3
"180",180,"XOM",69.8748829002246,0.859301211344642,2
"181",181,"FFIV",-33.9707063596052,0,3
"182",182,"FAST",-18.6402808809448,0.608081600627697,3
"183",183,"FRT",-18.0033611060703,1.00605497915333,3
"184",184,"FDX",-28.6043788976575,0.651779634416463,3
"185",185,"FIS",-32.7894706742522,0.648275862068965,3
"186",186,"FITB",-25.0455828385236,1.00334451211142,3
"187",187,"FRC",-44.4007604940029,0.224625629566364,3
"188",188,"FE",5.17066506218364,0.944538606332318,1
"189",189,"FISV",-0.774138795205681,0,1
"190",190,"FLT",-13.080954618016,0,1
"191",191,"FMC",22.9982166807305,0.404487525028524,2
"192",192,"F",-31.704834605598,1.1177347242921,3
"193",193,"FTNT",-14.6244928922458,0,1
"194",194,"FTV",-10.8822771490227,0.104368570150589,1
"195",195,"FBHS",-41.256076431907,0.454250494066361,3
"196",196,"FOXA",-12.5085119774462,0.777846943928032,1
"197",197,"FOX",-11.3489684075641,0.826993053258353,1
"198",198,"BEN",-17.7757550896384,1.07169257471148,3
"199",199,"FCX",2.25130884158877,0.384024567741306,1
"200",200,"GPS",-13.8068181818182,0.988793671720501,1
"201",201,"GRMN",-30.9632360294118,0.77750559993083,3
"202",202,"IT",11.5379721417608,0,1
"203",203,"GNRC",-73.9447136291817,0,3
"204",204,"GD",25.635002,0.501452612704221,2
"205",205,"GE",-10.3416120153543,0.0923680857595187,1
"206",206,"GIS",33.4371165453648,0.629957995450793,2
"207",207,"GM",-36.0860285667378,0.23118417672746,3
"208",208,"GPC",39.0731999812864,0.484123992105912,2
"209",209,"GILD",26.4224145523682,0.829639750645295,2
"210",210,"GPN",-20.8515640625,0.246767352616076,3
"211",211,"GL",29.3118544996452,0.175143142890819,2
"212",212,"GS",-6.12327272626288,0.676626590227096,1
"213",213,"HAL",59.8695652173913,0.326353005167256,2
"214",214,"HBI",-63.042223074481,2.34741784037559,3
"215",215,"HAS",-36.2558993672793,1.1028832345536,3
"216",216,"HCA",-0.93876904497241,0.239050632610148,1
"217",217,"PEAK",-23.424215085775,1.14854513213839,3
"218",218,"HSIC",11.0762099006254,0,1
"219",219,"HES",76.6248625364246,0.268990739000337,2
"220",220,"HPE",6.07843137254902,0.739371534195933,1
"221",221,"HLT",-4.6476547625564,0.107836084493052,1
"222",222,"HOLX",-0.266414013587313,0,1
"223",223,"HD",-23.3477182254197,0.594418693166436,3
"224",224,"HON",4.31196735337898,0.476256522379312,1
"225",225,"HRL",9.98134071871872,0.551314673452078,1
"226",226,"HST",6.14086657791291,0.680658007978333,1
"227",227,"HWM",25.461012617276,0.103145954181175,2
"228",228,"HPQ",-21.7962445521781,0.857044909153239,3
"229",229,"HUM",25.6731493363903,0.144179754769925,2
"230",230,"HBAN",-3.0698889614631,1.044474393531,1
"231",231,"HII",27.2918220986357,0.524690047605551,2
"232",232,"IBM",22.2609556209921,1.12016290997632,2
"233",233,"IEX",0.224006334133398,0.253025761122048,1
"234",234,"IDXX",-29.4389492377334,0,3
"235",235,"ITW",-6.8162961724947,0.584299740200264,1
"236",236,"ILMN",-40.654218744905,0,3
"237",237,"INCY",28.6676770903058,0,2
"238",238,"IR",-10.1466387949894,0.0375164127271354,1
"239",239,"INTC",-46.5971441639224,1.25042818600794,3
"240",240,"ICE",-19.0950964506012,0.354775461163519,3
"241",241,"IFF",-26.1311051701014,0.757434061016756,3
"242",242,"IP",-22.8062780839339,1.27127958656121,3
"243",243,"IPG",-5.54285428571428,0.877192955922778,1
"244",244,"INTU",-39.5539681560715,0.197243640493302,3
"245",245,"ISRG",-18.4626120037269,0,3
"246",246,"IVZ",-19.4793934698218,1.01293108905879,3
"247",247,"IPGP",-47.5116284883721,0,3
"248",248,"IQV",-20.9436225871847,0,3
"249",249,"IRM",16.2731896347637,1.12218999274837,1
"250",250,"JBHT",-10.4970167982891,0.226193174082632,1
